commitId,project,comment,label,ADDING_ATTRIBUTE_MODIFIABILITY,ADDING_CLASS_DERIVABILITY,ADDING_METHOD_OVERRIDABILITY,ADDITIONAL_CLASS,ADDITIONAL_FUNCTIONALITY,ADDITIONAL_OBJECT_STATE,ALTERNATIVE_PART_DELETE,ALTERNATIVE_PART_INSERT,ATTRIBUTE_RENAMING,ATTRIBUTE_TYPE_CHANGE,CLASS_RENAMING,COMMENT_DELETE,COMMENT_INSERT,COMMENT_MOVE,COMMENT_UPDATE,CONDITION_EXPRESSION_CHANGE,DECREASING_ACCESSIBILITY_CHANGE,DOC_DELETE,DOC_INSERT,DOC_UPDATE,INCREASING_ACCESSIBILITY_CHANGE,METHOD_RENAMING,PARAMETER_DELETE,PARAMETER_INSERT,PARAMETER_ORDERING_CHANGE,PARAMETER_RENAMING,PARAMETER_TYPE_CHANGE,PARENT_CLASS_CHANGE,PARENT_CLASS_DELETE,PARENT_CLASS_INSERT,PARENT_INTERFACE_CHANGE,PARENT_INTERFACE_DELETE,PARENT_INTERFACE_INSERT,REMOVED_CLASS,REMOVED_FUNCTIONALITY,REMOVED_OBJECT_STATE,REMOVING_ATTRIBUTE_MODIFIABILITY,REMOVING_CLASS_DERIVABILITY,REMOVING_METHOD_OVERRIDABILITY,RETURN_TYPE_CHANGE,RETURN_TYPE_DELETE,RETURN_TYPE_INSERT,STATEMENT_DELETE,STATEMENT_INSERT,STATEMENT_ORDERING_CHANGE,STATEMENT_PARENT_CHANGE,STATEMENT_UPDATE,UNCLASSIFIED_CHANGE,add,allow,bug,chang,error,fail,fix,implement,improv,issu,method,new,npe,refactor,remov,report,set,support,test,use,,,,,,,,,,
03336a980d738426fb76202750befa48f3c1599e,ReactiveX-RxJava,['add'  'marble'  'diagrams'  'single'  'operators'],p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
0531b8bff5c14d9504beefb4ad47f473e3a22932,ReactiveX-RxJava,['change'  'hasexception'  'hasthrowable'],p,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
0950c46beda335819928585f1262dfe1dca78a0b,ReactiveX-RxJava,['trying'  'extend'  'scheduler'  'interface'  'according'  'comments'  '19'],a,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
0f92fdd8e6422d5b79c610a7fd8409d222315a49,ReactiveX-RxJava,['runasync'  'method'  'outputting'  'multiple'  'values'],a,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
100f571c9a2835d5a30a55374b9be74c147e031f,ReactiveX-RxJava,['foreach'  'action1'  'observeri'  'reread'  'msdn'  'docs'  'found'  'previous'  'implementation'  'wasnt'  'complying'  'contracthttpmsdnmicrosoftcomenuslibraryhh211815vvs103aspxi'  'believe'],c,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
12954a69895db8e60522c72557b93c53973dc436,ReactiveX-RxJava,['extract'  'unsubscribetester'  'top'  'level'],p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
135b6c13e03dbb519f8163f5ee5b2c8d7c87684c,ReactiveX-RxJava,['cleaning'],p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
169e7e06ea223bd3fdca2460b74e9cd361439fff,ReactiveX-RxJava,['trying'  'fix'  'nondeterministic'  'test'  'sure'  'way'  'putting'  'threadsleep'  'give'  'time'  'countdownlatch'  'triggers'  'process'  'scheduler'  'execute'  'next'  'line'  'threadsee'  'httpsgithubcomnetflixrxjavapull201'  'information'],c,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,
191f023cf5253ea90647bc091dcaf55ccdce81cc,ReactiveX-RxJava,['1x'  'fix'  'completable'  'swallows'  'onerrornotimplementedexception'  '3904'],c,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
1945713fd50d0e6740df94fb63358a0939105ab5,ReactiveX-RxJava,['fix'  'unit'  'test'  'last'  'changed'  'behavior'],c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,
232612c800c2583da61b95397141040d3106efda,ReactiveX-RxJava,['incoporate'  'review'  'suggestionssplits'  'compound'  'unit'  'test'  'partsuses'  'mockito'  'instead'  'bespoke'  'test'  'objectremoves'  'unused'  'import'  'statementschanges'  'order'  'finally'  'action'  'wrt'  'oncompleteonerror'],p,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,
271eda44a52f5aa8dc1c9dac3679ec3fd0596eab,ReactiveX-RxJava,['fixed'  'byline'  'test'  'use'  'lineseparator'  'system'  'property'  'instead'  'n'],c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,
2b0b6845d3c96a4c784d5c0b1b211860909d2f23,ReactiveX-RxJava,['add'  'compositesubscription'  'also'  'utility'  'method'  'creating'  'subscription'  'around'  'future'],a,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2bf53a9a3c6ddd9051a50fdbf9600a2e585f7a35,ReactiveX-RxJava,['spare'  'redundant'  'calls'  'sleepingaction'  'around'  'determining'  'delay'  'value'  '3903'  'remove'  'redundant'  'outer'  'conditional'  'skip'  'calling'  'systemcurrenttimemillis'  'could'  'potentially'  'result'  'different'  'values'], which could potentially result in different values.-,p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,
2d7b9660ef2825c25f2f3fbeda9acb96c3712575,ReactiveX-RxJava,['adding'  'missing'  'javadocs'  'testsubject'  '1322'],p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
2f40ce3e2a5e244315c16865967f58930f57cf7c,ReactiveX-RxJava,['added'  'takelast'  'observable'],a,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
35cf457bf5c487afb2d380be17956b3084a1e558,ReactiveX-RxJava,['reduce'  'duplication'  'making'  'schedule'  'special'  'caseforwards'  'schedule'  'later'  'delay'  '0'],p,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
36875309b2c4e6276964e013819ba513e23eea24,ReactiveX-RxJava,['wraps'  'dooneach'  'safeobserverthis'  'commit'  'leverages'  'safeobserver'  'facility'  'get'  'desiredbehavior'  'face'  'exceptions'  'specifically'  'theoperations'  'performed'  'within'  'dooneach'  'handler'  'raises'  'exceptionthat'  'exception'  'propagate'  'observable'  'chain'], if any of the-operations performed within the doOnEach handler raises an exception,-that exception will propagate through the observable chain.-,c,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
387c765e345c46a74a403aa2b8e3b7c634864087,ReactiveX-RxJava,['switch'  'atomicintegerfieldupdater'  'volatile'  'int'  'instead'  'atomicboolean'], instead of AtomicBoolean--,p,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
3bed0b4348c2c87052e51618fb8cbd5afa58e2db,ReactiveX-RxJava,['refactored'  'takeuntil'  'use'  'takewhile'],p,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,,,,,,,
3e26fa32b15dfa1e16bddaae6b874a744358de75,ReactiveX-RxJava,['removed'  'window'  'two'  'synchronized'  'blocks'],p,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,
3ed9f0f35aa82e04798ff4f35a32207787d78074,ReactiveX-RxJava,['added'  'license'  'header'  'operationbuffer'],p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
43719c7dfd29922dd45a007923405958aa540f2d,ReactiveX-RxJava,[],p,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
45afeb9fb5ce49a9f0e4d931057ebaf6990111ab,ReactiveX-RxJava,['forward'  'subscription'  'wrapped'  'subscriber'],p,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
493e8ad45f39306754484ada51bfe397928404fd,ReactiveX-RxJava,['additions'  'tests'],p,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,
4a9f2fb05a3163e11ed35d85a33a6b8e216dde77,ReactiveX-RxJava,['takewhile'  'protect'  'calls'  'predicate'],c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
